Kabupaten/Kota,Tahun,Kuartal,Laju_Inflasi(YOY),Proksi Inflasi
Kota Blitar,2022,IV,5.76,Kota Kediri
Kota Blitar,2023,I,5.36,Kota Kediri
Kota Blitar,2023,II,3.92,Kota Kediri
Kota Blitar,2023,III,2.55,Kota Kediri
Kota Blitar,2023,IV,2.64,Kota Kediri
Kota Blitar,2024,I,2.88,Kota Kediri
Kota Blitar,2024,II,1.72,Kota Kediri
Kota Blitar,2024,III,0.88,Kota Kediri
Kota Blitar,2024,IV,1.19,Kota Kediri
Kota Blitar,2025,I,-0.04,Kota Kediri
Kota Malang,2022,I,2.98,Kota Malang
Kota Malang,2022,II,5.3,Kota Malang
Kota Malang,2022,III,7.08,Kota Malang
Kota Malang,2022,IV,6.45,Kota Malang
Kota Malang,2023,I,5.74,Kota Malang
Kota Malang,2023,II,3.65,Kota Malang
Kota Malang,2023,III,2.27,Kota Malang
Kota Malang,2023,IV,2.56,Kota Malang
Kota Malang,2024,I,2.9,Kota Malang
Kota Malang,2024,II,2.02,Kota Malang
Kota Malang,2024,III,1.62,Kota Malang
Kota Malang,2024,IV,1.36,Kota Malang
Kota Malang,2025,I,0.49,Kota Malang
Kota Probolinggo,2022,I,2.26,Kota Malang
Kota Probolinggo,2022,II,4.6,Kota Malang
Kota Probolinggo,2022,III,5.4,Kota Malang
Kota Probolinggo,2022,IV,5.45,Kota Malang
Kota Probolinggo,2023,I,5.04,Kota Malang
Kota Probolinggo,2023,II,3.59,Kota Malang
Kota Probolinggo,2023,III,3.18,Kota Malang
Kota Probolinggo,2023,IV,2.86,Kota Malang
Kota Probolinggo,2024,I,3.54,Kota Malang
Kota Probolinggo,2024,II,2.29,Kota Malang
Kota Probolinggo,2024,III,1.97,Kota Malang
Kota Probolinggo,2024,IV,1.9,Kota Malang
Kota Probolinggo,2025,I,1.13,Kota Malang
Kota Pasuruan,2022,I,2.62,Kota Malang
Kota Pasuruan,2022,II,4.95,Kota Malang
Kota Pasuruan,2022,III,6.24,Kota Malang
Kota Pasuruan,2022,IV,5.95,Kota Malang
Kota Pasuruan,2023,I,5.39,Kota Malang
Kota Pasuruan,2023,II,3.62,Kota Malang
Kota Pasuruan,2023,III,2.725,Kota Malang
Kota Pasuruan,2023,IV,2.71,Kota Malang
Kota Pasuruan,2024,I,3.22,Kota Malang
Kota Pasuruan,2024,II,2.155,Kota Malang
Kota Pasuruan,2024,III,1.795,Kota Malang
Kota Pasuruan,2024,IV,1.63,Kota Malang
Kota Pasuruan,2025,I,0.81,Kota Malang
Kota Mojokerto,2022,I,3.16,Kota Surabaya
Kota Mojokerto,2022,II,4.89,Kota Surabaya
Kota Mojokerto,2022,III,6.91,Kota Surabaya
Kota Mojokerto,2022,IV,6.59,Kota Surabaya
Kota Mojokerto,2023,I,6.3,Kota Surabaya
Kota Mojokerto,2023,II,4.91,Kota Surabaya
Kota Mojokerto,2023,III,3.14,Kota Surabaya
Kota Mojokerto,2023,IV,3.03,Kota Surabaya
Kota Mojokerto,2024,I,2.99,Kota Surabaya
Kota Mojokerto,2024,II,2.35,Kota Surabaya
Kota Mojokerto,2024,III,1.65,Kota Surabaya
Kota Mojokerto,2024,IV,1.38,Kota Surabaya
Kota Mojokerto,2025,I,0.63,Kota Surabaya
Kota Madiun,2022,I,2.38,Kota Madiun
Kota Madiun,2022,II,4.76,Kota Madiun
Kota Madiun,2022,III,6.14,Kota Madiun
Kota Madiun,2022,IV,5.8,Kota Madiun
Kota Madiun,2023,I,5.15,Kota Madiun
Kota Madiun,2023,II,3.25,Kota Madiun
Kota Madiun,2023,III,2.16,Kota Madiun
